trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-21,2022-06-21,1,0.0
2022-06-21,2022-06-21,0,-427.0
2022-06-22,2022-06-22,1,0.0
2022-06-22,2022-06-22,0,-395.0
2022-06-23,2022-06-23,1,0.0
2022-06-23,2022-06-23,0,-385.0
2022-06-24,2022-06-24,1,0.0
2022-06-24,2022-06-24,0,1759.0
2022-06-27,2022-06-27,1,0.0
2022-06-27,2022-06-27,0,-385.0
2022-06-28,2022-06-28,1,0.0
2022-06-28,2022-06-28,0,180.0
2022-06-29,2022-06-29,1,0.0
2022-06-29,2022-06-29,0,-400.0
2022-06-30,2022-06-30,1,0.0
2022-06-30,2022-06-30,0,-395.0
2022-07-01,2022-07-01,1,0.0
2022-07-01,2022-07-01,0,-390.0
2022-07-05,2022-07-05,1,0.0
2022-07-05,2022-07-05,0,2208.99
2022-07-06,2022-07-06,1,0.0
2022-07-06,2022-07-06,0,-420.0
2022-07-07,2022-07-07,1,0.0
2022-07-07,2022-07-07,0,-435.0
2022-07-08,2022-07-08,1,0.0
2022-07-08,2022-07-08,0,-390.0
2022-07-11,2022-07-11,1,0.0
2022-07-11,2022-07-11,0,-405.0
2022-07-12,2022-07-12,1,0.0
2022-07-12,2022-07-12,0,-385.0
2022-07-13,2022-07-13,1,0.0
2022-07-13,2022-07-13,0,-420.0
2022-07-14,2022-07-14,1,0.0
2022-07-14,2022-07-14,0,247.99
2022-07-15,2022-07-15,1,0.0
2022-07-15,2022-07-15,0,-390.0
2022-07-18,2022-07-18,1,0.0
2022-07-18,2022-07-18,0,2519.99
2022-07-19,2022-07-19,1,0.0
2022-07-19,2022-07-19,0,2253.99
2022-07-20,2022-07-20,1,0.0
2022-07-20,2022-07-20,0,-385.0
2022-07-21,2022-07-21,1,0.0
2022-07-21,2022-07-21,0,-430.0
2022-07-22,2022-07-22,1,0.0
2022-07-22,2022-07-22,0,-390.0
2022-07-25,2022-07-25,1,0.0
2022-07-25,2022-07-25,0,-380.0
2022-07-26,2022-07-26,1,0.0
2022-07-26,2022-07-26,0,-385.0
2022-07-27,2022-07-27,1,0.0
2022-07-27,2022-07-27,0,-380.0
2022-07-28,2022-07-28,1,0.0
2022-07-28,2022-07-28,0,1867.99
2022-07-29,2022-07-29,1,0.0
2022-07-29,2022-07-29,0,-365.0
2022-08-02,2022-08-02,1,0.0
2022-08-02,2022-08-02,0,-415.0
2022-08-03,2022-08-03,1,0.0
2022-08-03,2022-08-03,0,-445.0
2022-08-04,2022-08-04,1,0.0
